@relation 'output-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lmerged-R2,3,4-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz_splacona:dobry,merged:zly-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6-weka.filters.supervised.attribute.Discretize-R1-precision6-weka.filters.supervised.attribute.Discretize-R2-precision6-weka.filters.supervised.attribute.Discretize-R3-precision6-weka.filters.supervised.attribute.Discretize-R4-precision6-weka.filters.supervised.attribute.Discretize-R5-precision6-weka.filters.supervised.attribute.Discretize-R6-precision6-weka.filters.supervised.attribute.Discretize-R7-precision6-weka.filters.supervised.attribute.Discretize-R8-precision6-weka.filters.supervised.attribute.Discretize-R9-precision6-weka.filters.unsupervised.attribute.Reorder-R5,8,6,7,3,2,4,1-weka.filters.unsupervised.attribute.Remove-R7,8'

@attribute 'miesieczny dochod netto' {'\'(-inf-544.255]\'','\'(544.255-inf)\''}
@attribute 'okres w jakim bedzie pobieral dochod' {'\'(-inf-3.5]\'','\'(3.5-inf)\''}
@attribute 'ktore rolowanie' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'okres w jakim pobieral dochod' {'\'(-inf-8.5]\'','\'(8.5-inf)\''}
@attribute plec {kobieta,mężczyzna}
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}

@data
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(-inf-3.5]\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'',mężczyzna,'\'(-inf-30.4]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(-inf-30.4]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',mężczyzna,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',mężczyzna,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',mężczyzna,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(-inf-8.5]\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(-inf-8.5]\'',kobieta,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',mężczyzna,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(-inf-544.255]\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(-inf-30.4]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',mężczyzna,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(-inf-30.4]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',mężczyzna,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(-inf-8.5]\'',mężczyzna,'\'(-inf-30.4]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(-inf-8.5]\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(-inf-8.5]\'',kobieta,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(-inf-30.4]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(-inf-8.5]\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',mężczyzna,'\'(-inf-30.4]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(-inf-8.5]\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(-inf-544.255]\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(-inf-30.4]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',kobieta,'\'(67.6-inf)\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(42.8-55.2]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(-inf-8.5]\'',mężczyzna,'\'(30.4-42.8]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(-inf-8.5]\'',mężczyzna,'\'(-inf-30.4]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(8.5-inf)\'',kobieta,'\'(55.2-67.6]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-8.5]\'',mężczyzna,'\'(-inf-30.4]\''
'\'(544.255-inf)\'','\'(3.5-inf)\'','\'(0.5-inf)\'','\'(8.5-inf)\'',mężczyzna,'\'(42.8-55.2]\''
